"file","owner","hardcodedColor","rawControls","inlineStyles","missingAlt","libraries"
"src/components/dashboard/livreurs/fleet-page-client.tsx","deliveries","0","0","0","0","@/components/ui/alert ; @/components/ui/alert-dialog ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/dialog ; @/components/ui/input ; @/components/ui/label ; @/components/ui/select ; @/components/ui/table ; @/components/ui/textarea"
"src/components/dashboard/menu/category-organizer-dialog.tsx","menu","0","0","0","0","@/components/ui/button ; @/components/ui/dialog ; @/components/ui/input ; @/components/ui/switch"
"src/components/dashboard/menu/delete-plat-dialog.tsx","menu","1","0","0","0","@/components/ui/alert-dialog"
"src/components/dashboard/menu/menu-card.tsx","menu","3","0","0","0","@/components/ui/button ; @/components/ui/dropdown-menu ; @/components/ui/switch"
"src/components/dashboard/menu/menu-filters.tsx","menu","4","2","0","0","@/components/ui/button ; @/components/ui/input"
"src/components/dashboard/menu/menu-form-new.tsx","menu","16","1","0","0","@/components/ui/button ; framer-motion"
"src/components/dashboard/menu/menu-info-panel.tsx","menu","17","0","0","0",""
"src/components/dashboard/menu/menu-manager.tsx","menu","4","0","0","0","@/components/ui/button"
"src/components/dashboard/menu/plat-edit-dialog.tsx","menu","17","6","0","0","@/components/ui/button ; @/components/ui/dialog ; @/components/ui/switch"
"src/components/dashboard/menu/plat-stats-panel.tsx","menu","5","0","0","0",""
"src/components/dashboard/menu/similar-dishes.tsx","menu","11","0","0","0",""
"src/components/dashboard/menu/skeletons.tsx","menu","0","0","0","0","@/components/ui/skeleton"
"src/components/dashboard/menu/wizard/StepApercu.tsx","menu","14","0","0","0",""
"src/components/dashboard/menu/wizard/StepCategorie.tsx","menu","17","4","0","0","@/components/ui/switch"
"src/components/dashboard/menu/wizard/StepInfo.tsx","menu","17","4","0","0","@/components/ui/button"
"src/components/dashboard/notifications-client.tsx","notifications","12","0","0","0","@/components/ui/button"
"src/components/dashboard/notifications/notifications-provider.tsx","notifications","0","0","0","0",""
"src/components/dashboard/pagination.tsx","shared/ui pagination","1","0","0","0","@/components/ui/button"
"src/components/dashboard/profil/formulaire-profil.tsx","clients","3","3","0","0","@/components/ui/button ; @/components/ui/checkbox ; @/components/ui/input ; @/components/ui/label ; @/components/ui/switch ; @/components/ui/textarea"
"src/components/dashboard/profil/opening-hours-manager.tsx","clients","0","0","0","0","@/components/ui/alert-dialog ; @/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/checkbox ; @/components/ui/dialog ; @/components/ui/input ; @/components/ui/label ; @/components/ui/switch"
"src/components/dashboard/profil/restaurant-location-picker.tsx","restaurants","0","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/card ; @/components/ui/input ; @/components/ui/label ; @/components/ui/map"
"src/components/dashboard/restaurant-validation-status.tsx","restaurants","22","0","0","0","@/components/ui/button"
"src/components/dashboard/stats/dashboard-secondary-sections.tsx","orders / analytics","0","0","0","0",""
"src/components/dashboard/stats/order-types.tsx","orders / analytics","0","0","0","0","@/components/ui/card ; @/components/ui/progress"
"src/components/dashboard/stats/orders-overview.tsx","orders / analytics","0","0","0","0","@/components/ui/card"
"src/components/dashboard/stats/recent-activity.tsx","orders / analytics","0","0","0","0","@/components/ui/card"
"src/components/dashboard/stats/recent-orders-section.tsx","orders / analytics","0","0","0","0",""
"src/components/dashboard/stats/recent-orders.tsx","orders / analytics","16","0","0","0","@/components/ui/badge ; @/components/ui/card ; @/components/ui/table"
"src/components/dashboard/stats/revenue-chart.tsx","orders / analytics","0","0","0","0","@/components/ui/card"
"src/components/dashboard/stats/revenue-section.tsx","orders / analytics","0","0","0","0",""
"src/components/dashboard/stats/skeletons.tsx","orders / analytics","0","0","1","0","@/components/ui/card ; @/components/ui/skeleton"
"src/components/dashboard/stats/stats-cards.tsx","orders / analytics","0","0","0","0","@/components/ui/card"
"src/components/dashboard/stats/stats-section.tsx","orders / analytics","0","0","0","0",""
"src/components/dashboard/stats/stats-shell.tsx","orders / analytics","0","0","0","0",""
"src/components/dashboard/stats/top-categories.tsx","orders / analytics","0","0","1","0","@/components/ui/card"
"src/components/dashboard/stats/trending-menus.tsx","orders / analytics","0","0","0","0","@/components/ui/badge ; @/components/ui/button ; @/components/ui/card"
"src/components/dashboard/stats/trending-section.tsx","orders / analytics","0","0","0","0",""
